Loan_ID,Disbursement_Date,Fiscal_Year,State,State_Tier,Sector,ITC_HS_Chapter,Enterprise_Size,Lending_Bank,Loan_Type,Loan_Amount_INR,Export_Turnover_INR,Turnover_Volatility_Pct,Destination_Country,Destination_Risk,NPA_History,IES_Eligible,Risk_Score,Risk_Tier,IES_Claimed
IES004256,2017-10-09,FY2017-18,Maharashtra,1,Electronic Components,85-90,Micro,Union Bank of India,Packing Credit,3420210,11083727,49.4,Singapore,Low,No,Yes,30,Medium,Yes
IES004257,2019-11-15,FY2019-20,Andhra Pradesh,2,Agriculture & Food Products,01-24,Small,HDFC Bank,Export Factoring,1773203,6940342,41.8,Singapore,Low,No,Yes,40,Medium,No
IES004258,2019-03-08,FY2018-19,Uttar Pradesh,2,Textiles & Apparel,50-63,Micro,Bank of India,Export Bill Discounting,972246,4157313,27.3,Iran,High,No,Yes,53,Medium,No
IES004259,2021-02-26,FY2020-21,Andhra Pradesh,2,Engineering Goods,84-85,Small,Bank of India,Packing Credit,2523997,8010778,14.2,Sri Lanka,Medium,No,Yes,15,Low,Yes
IES004260,2021-04-02,FY2021-22,Telangana,2,Textiles & Apparel,50-63,Micro,Union Bank of India,ECGC-backed Term Loan,706402,1142111,6.8,Singapore,Low,Yes,No,53,Medium,No
IES004261,2017-09-27,FY2017-18,Karnataka,1,Engineering Goods,84-85,Medium,Bank of Baroda,Post-Shipment Credit,11285939,29052895,49.7,USA,Low,No,Yes,30,Medium,Yes
IES004262,2022-11-25,FY2022-23,Tamil Nadu,1,Marine Products,03,Micro,State Bank of India,Packing Credit,611936,1046771,54.0,Sri Lanka,Medium,No,Yes,55,Medium,Yes
IES004263,2022-05-23,FY2022-23,Karnataka,1,Leather & Footwear,41-64,Micro,EXIM Bank of India,Pre-Shipment Credit,429030,1517568,43.2,Nigeria,High,No,Yes,63,High,Yes
IES004264,2022-06-20,FY2022-23,Rajasthan,2,Electronic Components,85-90,Micro,Bank of India,Export Bill Discounting,3267320,9109380,48.1,Iran,High,No,Yes,55,Medium,Yes
IES004265,2021-11-23,FY2021-22,Karnataka,1,Chemicals & Pharma,28-30,Micro,HDFC Bank,Pre-Shipment Credit,1352545,2408175,15.5,Vietnam,Low,No,Yes,20,Low,Yes
IES004266,2016-10-20,FY2016-17,Punjab,2,Leather & Footwear,41-64,Micro,EXIM Bank of India,Export Factoring,482140,1068512,50.9,Bangladesh,Medium,No,Yes,48,Medium,No
IES004267,2017-09-19,FY2017-18,Karnataka,1,Gems & Jewellery,71,Micro,HDFC Bank,Export Factoring,3380633,10470483,49.9,UK,Low,No,No,30,Medium,No
IES004268,2018-11-10,FY2018-19,Punjab,2,Plastics & Rubber,39-40,Small,Bank of Baroda,Export Bill Discounting,1314405,5905738,42.7,Brazil,Medium,No,Yes,43,Medium,Yes
IES004269,2017-10-19,FY2017-18,Jharkhand,3,Leather & Footwear,41-64,Medium,Bank of India,Export Factoring,2707163,9312077,22.5,UAE,Low,No,Yes,28,Low,Yes
IES004270,2017-06-19,FY2017-18,Telangana,2,Engineering Goods,84-85,Micro,Bank of India,Packing Credit,1762115,4088374,33.9,Vietnam,Low,No,Yes,30,Medium,No
IES004271,2020-03-01,FY2019-20,Maharashtra,1,Leather & Footwear,41-64,Micro,Canara Bank,Export Bill Discounting,862072,3786099,51.5,Nigeria,High,No,Yes,63,High,Yes
IES004272,2022-01-15,FY2021-22,Tamil Nadu,1,Agriculture & Food Products,01-24,Small,Canara Bank,Export Factoring,1131107,4283160,31.0,UAE,Low,No,Yes,40,Medium,Yes
IES004273,2015-10-05,FY2015-16,Rajasthan,2,Textiles & Apparel,50-63,Medium,ICICI Bank,Pre-Shipment Credit,4272058,16216971,49.8,UAE,Low,No,Yes,38,Medium,Yes
IES004274,2018-10-11,FY2018-19,Telangana,2,Marine Products,03,Micro,Indian Bank,Export Factoring,262644,1016205,14.8,Egypt,High,No,Yes,50,Medium,No
IES004275,2017-10-27,FY2017-18,Maharashtra,1,Textiles & Apparel,50-63,Micro,State Bank of India,ECGC-backed Term Loan,547241,835974,15.0,USA,Low,No,No,18,Low,No
IES004276,2022-04-05,FY2022-23,Tamil Nadu,1,Chemicals & Pharma,28-30,Small,EXIM Bank of India,Pre-Shipment Credit,5346394,9835557,47.1,China,Medium,No,Yes,35,Medium,No
IES004277,2019-08-27,FY2019-20,Maharashtra,1,Leather & Footwear,41-64,Small,Indian Bank,Export Factoring,970726,4251595,24.0,UK,Low,No,Yes,23,Low,Yes
IES004278,2022-03-02,FY2021-22,Gujarat,1,Agriculture & Food Products,01-24,Medium,Axis Bank,Post-Shipment Credit,1276414,1951326,19.2,Bangladesh,Medium,No,Yes,35,Medium,Yes
IES004279,2015-10-14,FY2015-16,Punjab,2,Agriculture & Food Products,01-24,Micro,Bank of Baroda,Export Bill Discounting,476573,985573,23.1,South Africa,Medium,No,Yes,45,Medium,No
IES004280,2023-03-22,FY2022-23,Chhattisgarh,3,Textiles & Apparel,50-63,Medium,Union Bank of India,Packing Credit,3297861,13475235,26.2,Egypt,High,No,Yes,43,Medium,Yes
IES004281,2016-06-28,FY2016-17,Karnataka,1,Leather & Footwear,41-64,Small,Punjab National Bank,Export Bill Discounting,1246139,3360226,42.5,UAE,Low,Yes,Yes,68,High,No
IES004282,2017-02-14,FY2016-17,Uttarakhand,3,Plastics & Rubber,39-40,Medium,Bank of Baroda,Post-Shipment Credit,4636399,7972405,9.5,South Africa,Medium,No,Yes,28,Low,Yes
IES004283,2020-03-15,FY2019-20,Karnataka,1,Agriculture & Food Products,01-24,Small,Bank of India,Packing Credit,927417,3590259,50.8,USA,Low,No,Yes,40,Medium,No
IES004284,2018-03-12,FY2017-18,Telangana,2,Marine Products,03,Micro,Indian Bank,Export Factoring,873948,2329159,34.8,USA,Low,No,Yes,45,Medium,Yes
IES004285,2024-03-19,FY2023-24,Maharashtra,1,Electronic Components,85-90,Small,Bank of Baroda,Export Factoring,7026403,28058206,50.6,Brazil,Medium,No,Yes,35,Medium,No
IES004286,2024-02-02,FY2023-24,Haryana,2,Gems & Jewellery,71,Small,Punjab National Bank,Export Factoring,7671503,17360766,43.6,UAE,Low,No,No,25,Low,No
IES004287,2016-06-09,FY2016-17,Odisha,3,Handicrafts,97,Micro,Axis Bank,Post-Shipment Credit,174418,755718,6.0,USA,Low,Yes,Yes,60,High,No
IES004288,2015-09-13,FY2015-16,Uttar Pradesh,2,Electronic Components,85-90,Medium,State Bank of India,Export Bill Discounting,9029447,39694948,12.5,China,Medium,No,Yes,10,Low,Yes
IES004289,2023-06-01,FY2023-24,Tamil Nadu,1,Leather & Footwear,41-64,Micro,Bank of India,Pre-Shipment Credit,579559,1479096,15.8,UAE,Low,Yes,Yes,63,High,No
IES004290,2017-03-22,FY2016-17,Andhra Pradesh,2,Engineering Goods,84-85,Micro,Bank of India,Post-Shipment Credit,2905256,9461088,22.4,UK,Low,No,Yes,20,Low,Yes
IES004291,2022-01-28,FY2021-22,Punjab,2,Chemicals & Pharma,28-30,Micro,Union Bank of India,Pre-Shipment Credit,2484734,10347758,17.2,Others,Medium,No,Yes,30,Medium,Yes
IES004292,2021-04-12,FY2021-22,Odisha,3,Textiles & Apparel,50-63,Medium,Punjab National Bank,Packing Credit,3213811,10358463,43.4,USA,Low,No,Yes,28,Low,Yes
IES004293,2017-12-15,FY2017-18,Maharashtra,1,Agriculture & Food Products,01-24,Small,Union Bank of India,Packing Credit,768494,2360754,11.7,Bangladesh,Medium,Yes,Yes,65,High,No
IES004294,2020-02-13,FY2019-20,Uttar Pradesh,2,Handicrafts,97,Medium,Punjab National Bank,Export Factoring,617962,975111,12.6,Sri Lanka,Medium,No,Yes,25,Low,Yes
IES004295,2017-10-17,FY2017-18,Maharashtra,1,Electronic Components,85-90,Micro,Union Bank of India,Post-Shipment Credit,2253139,4661945,21.9,USA,Low,No,Yes,20,Low,Yes
IES004296,2020-10-31,FY2020-21,Bihar,3,Agriculture & Food Products,01-24,Micro,Bank of Baroda,Packing Credit,356516,618059,14.6,Singapore,Low,No,Yes,25,Low,No
IES004297,2024-02-18,FY2023-24,Maharashtra,1,Engineering Goods,84-85,Micro,Axis Bank,Export Factoring,1641303,5774015,34.4,UAE,Low,Yes,Yes,65,High,No
IES004298,2018-12-13,FY2018-19,Rajasthan,2,Plastics & Rubber,39-40,Micro,Bank of Baroda,Packing Credit,1490190,3234451,47.4,UAE,Low,Yes,Yes,73,High,No
IES004299,2021-06-13,FY2021-22,Haryana,2,Electronic Components,85-90,Small,Union Bank of India,Post-Shipment Credit,7519632,20438642,54.2,Egypt,High,No,Yes,50,Medium,Yes
IES004300,2017-08-17,FY2017-18,Odisha,3,Handicrafts,97,Micro,SIDBI,Export Bill Discounting,242427,924002,53.3,Iran,High,No,Yes,70,High,Yes
IES004301,2019-03-09,FY2018-19,Haryana,2,Agriculture & Food Products,01-24,Micro,EXIM Bank of India,Packing Credit,184489,694852,49.0,Vietnam,Low,No,Yes,45,Medium,Yes
IES004302,2016-03-18,FY2015-16,Tamil Nadu,1,Handicrafts,97,Medium,Union Bank of India,Export Bill Discounting,1736040,7625447,21.2,UAE,Low,Yes,Yes,70,High,No
IES004303,2018-10-06,FY2018-19,Tamil Nadu,1,Gems & Jewellery,71,Small,Indian Bank,ECGC-backed Term Loan,6064890,19023880,14.0,Vietnam,Low,No,No,5,Low,No
IES004304,2023-12-18,FY2023-24,Maharashtra,1,Chemicals & Pharma,28-30,Micro,Axis Bank,Packing Credit,2562370,6514036,51.6,USA,Low,No,Yes,30,Medium,Yes
IES004305,2021-06-12,FY2021-22,Chhattisgarh,3,Plastics & Rubber,39-40,Micro,Canara Bank,Post-Shipment Credit,777097,2547994,11.0,South Africa,Medium,No,Yes,28,Low,Yes
IES004306,2022-09-22,FY2022-23,Gujarat,1,Gems & Jewellery,71,Small,Union Bank of India,Export Factoring,4961936,12295365,33.1,USA,Low,No,No,25,Low,No
IES004307,2020-09-21,FY2020-21,Punjab,2,Marine Products,03,Micro,Bank of India,Pre-Shipment Credit,333128,1471249,15.7,Vietnam,Low,No,Yes,35,Medium,No
IES004308,2017-12-20,FY2017-18,Maharashtra,1,Marine Products,03,Micro,Indian Bank,Pre-Shipment Credit,337978,696483,27.7,Singapore,Low,No,Yes,35,Medium,Yes
IES004309,2015-06-08,FY2015-16,Andhra Pradesh,2,Electronic Components,85-90,Small,HDFC Bank,Post-Shipment Credit,3859712,6019760,32.1,UAE,Low,No,Yes,25,Low,Yes
IES004310,2020-03-22,FY2019-20,Gujarat,1,Textiles & Apparel,50-63,Medium,Union Bank of India,Post-Shipment Credit,6108602,26693379,24.6,USA,Low,No,Yes,28,Low,Yes
IES004311,2023-11-07,FY2023-24,Madhya Pradesh,2,Plastics & Rubber,39-40,Micro,Axis Bank,ECGC-backed Term Loan,1032523,3700379,41.0,Others,Medium,No,No,48,Medium,No
IES004312,2022-08-10,FY2022-23,Uttar Pradesh,2,Chemicals & Pharma,28-30,Micro,Bank of India,Pre-Shipment Credit,1841015,5869350,53.7,Nigeria,High,No,Yes,55,Medium,Yes
IES004313,2023-07-27,FY2023-24,Uttar Pradesh,2,Leather & Footwear,41-64,Micro,ICICI Bank,Post-Shipment Credit,891144,3206457,41.8,Nigeria,High,No,Yes,63,High,No
IES004314,2022-11-27,FY2022-23,Andhra Pradesh,2,Electronic Components,85-90,Micro,Indian Bank,Post-Shipment Credit,3134488,7432600,20.2,Nigeria,High,No,Yes,45,Medium,No
IES004315,2017-06-08,FY2017-18,Tamil Nadu,1,Electronic Components,85-90,Micro,Axis Bank,Post-Shipment Credit,2217214,7069166,17.5,UAE,Low,No,Yes,20,Low,No
IES004316,2022-12-01,FY2022-23,Karnataka,1,Chemicals & Pharma,28-30,Micro,Punjab National Bank,Export Bill Discounting,2659732,10508468,10.5,Germany,Low,No,Yes,10,Low,Yes
IES004317,2017-03-04,FY2016-17,Madhya Pradesh,2,Handicrafts,97,Micro,Canara Bank,Pre-Shipment Credit,265658,547449,32.1,Egypt,High,No,Yes,70,High,No
IES004318,2021-04-18,FY2021-22,Gujarat,1,Plastics & Rubber,39-40,Medium,Union Bank of India,Export Factoring,4511089,10589765,21.2,USA,Low,No,Yes,28,Low,Yes
IES004319,2023-12-15,FY2023-24,Haryana,2,Chemicals & Pharma,28-30,Small,State Bank of India,ECGC-backed Term Loan,3421219,15251401,6.6,Vietnam,Low,No,No,5,Low,No
IES004320,2021-03-19,FY2020-21,Punjab,2,Electronic Components,85-90,Small,Union Bank of India,Export Bill Discounting,3609387,12587703,23.6,Sri Lanka,Medium,No,Yes,25,Low,Yes
IES004321,2022-04-29,FY2022-23,Odisha,3,Electronic Components,85-90,Small,Bank of India,Post-Shipment Credit,3531671,12435903,41.5,Brazil,Medium,No,Yes,35,Medium,Yes
IES004322,2018-02-25,FY2017-18,Punjab,2,Chemicals & Pharma,28-30,Micro,EXIM Bank of India,Export Bill Discounting,3055458,10913050,10.7,Others,Medium,No,Yes,20,Low,Yes
IES004323,2023-01-29,FY2022-23,Chhattisgarh,3,Plastics & Rubber,39-40,Small,HDFC Bank,ECGC-backed Term Loan,1035978,1643479,25.7,Nigeria,High,No,No,48,Medium,No
IES004324,2016-12-23,FY2016-17,Uttarakhand,3,Electronic Components,85-90,Small,SIDBI,Post-Shipment Credit,7438705,20833055,28.4,Singapore,Low,No,Yes,15,Low,Yes
IES004325,2019-01-19,FY2018-19,Tamil Nadu,1,Gems & Jewellery,71,Micro,EXIM Bank of India,Export Factoring,2598482,6355475,8.0,Sri Lanka,Medium,No,No,20,Low,No
IES004326,2017-03-31,FY2016-17,Rajasthan,2,Marine Products,03,Medium,Indian Bank,Export Bill Discounting,2533179,9019291,33.4,USA,Low,Yes,Yes,80,High,No
IES004327,2019-11-22,FY2019-20,Gujarat,1,Marine Products,03,Small,Canara Bank,Packing Credit,1311773,4082333,28.5,Bangladesh,Medium,No,Yes,40,Medium,No
IES004328,2021-09-28,FY2021-22,Tamil Nadu,1,Electronic Components,85-90,Small,HDFC Bank,ECGC-backed Term Loan,3367028,10215474,36.8,Russia,High,No,No,50,Medium,No
IES004329,2023-01-09,FY2022-23,Punjab,2,Chemicals & Pharma,28-30,Micro,Canara Bank,Pre-Shipment Credit,1211556,2328889,12.8,Vietnam,Low,No,Yes,10,Low,Yes
IES004330,2015-05-20,FY2015-16,Andhra Pradesh,2,Chemicals & Pharma,28-30,Micro,SIDBI,ECGC-backed Term Loan,2451610,8380026,48.6,Singapore,Low,No,No,30,Medium,No
IES004331,2017-09-11,FY2017-18,Maharashtra,1,Marine Products,03,Micro,EXIM Bank of India,Pre-Shipment Credit,269904,1017486,46.6,UK,Low,No,Yes,45,Medium,No
IES004332,2016-01-15,FY2015-16,West Bengal,2,Marine Products,03,Medium,Bank of India,ECGC-backed Term Loan,1472726,6099658,35.3,USA,Low,Yes,No,70,High,No
IES004333,2023-04-05,FY2023-24,Maharashtra,1,Gems & Jewellery,71,Small,EXIM Bank of India,Export Factoring,6757923,20200061,28.6,China,Medium,No,No,25,Low,No
IES004334,2019-06-20,FY2019-20,West Bengal,2,Marine Products,03,Medium,Indian Bank,Export Bill Discounting,1932123,4699136,48.5,Egypt,High,No,Yes,70,High,No
IES004335,2021-11-03,FY2021-22,Tamil Nadu,1,Chemicals & Pharma,28-30,Medium,ICICI Bank,Post-Shipment Credit,5952016,22751667,6.5,China,Medium,No,Yes,10,Low,Yes
IES004336,2022-06-03,FY2022-23,Rajasthan,2,Chemicals & Pharma,28-30,Small,Bank of Baroda,Post-Shipment Credit,2625353,9238226,45.8,Nigeria,High,No,Yes,50,Medium,Yes
IES004337,2018-09-15,FY2018-19,Gujarat,1,Plastics & Rubber,39-40,Small,Indian Bank,Packing Credit,2302791,3988158,17.9,Germany,Low,No,Yes,23,Low,Yes
IES004338,2017-10-16,FY2017-18,Telangana,2,Agriculture & Food Products,01-24,Micro,HDFC Bank,Export Bill Discounting,268070,477879,20.8,Bangladesh,Medium,No,Yes,45,Medium,Yes
IES004339,2023-02-01,FY2022-23,Maharashtra,1,Engineering Goods,84-85,Small,HDFC Bank,Pre-Shipment Credit,4018501,12801715,26.7,Singapore,Low,No,Yes,15,Low,Yes
IES004340,2023-04-16,FY2023-24,Chhattisgarh,3,Plastics & Rubber,39-40,Small,Indian Bank,Export Factoring,2382988,6855259,53.5,USA,Low,No,Yes,33,Medium,Yes
IES004341,2021-10-19,FY2021-22,Odisha,3,Plastics & Rubber,39-40,Micro,HDFC Bank,ECGC-backed Term Loan,937441,2587513,8.1,China,Medium,No,No,28,Low,No
IES004342,2016-11-22,FY2016-17,Maharashtra,1,Chemicals & Pharma,28-30,Micro,Union Bank of India,Export Bill Discounting,1094934,3249755,45.7,UAE,Low,No,Yes,30,Medium,No
IES004343,2015-07-21,FY2015-16,Gujarat,1,Leather & Footwear,41-64,Small,Axis Bank,Export Bill Discounting,1404723,5158123,33.3,UK,Low,No,Yes,33,Medium,Yes
IES004344,2022-10-12,FY2022-23,Uttar Pradesh,2,Agriculture & Food Products,01-24,Small,HDFC Bank,Export Factoring,790766,2296921,49.4,Brazil,Medium,No,Yes,50,Medium,No
IES004345,2017-12-24,FY2017-18,West Bengal,2,Electronic Components,85-90,Micro,HDFC Bank,Packing Credit,3589851,14143247,37.1,UAE,Low,No,Yes,30,Medium,No
IES004346,2016-07-03,FY2016-17,West Bengal,2,Textiles & Apparel,50-63,Small,Bank of India,ECGC-backed Term Loan,2291343,6585420,48.2,UAE,Low,No,No,33,Medium,No
IES004347,2022-03-10,FY2021-22,Jharkhand,3,Textiles & Apparel,50-63,Medium,SIDBI,Post-Shipment Credit,4511325,12028930,11.0,Sri Lanka,Medium,No,Yes,28,Low,Yes
IES004348,2019-08-09,FY2019-20,Gujarat,1,Engineering Goods,84-85,Small,Bank of Baroda,ECGC-backed Term Loan,4040269,7035440,12.8,Bangladesh,Medium,No,No,15,Low,No
IES004349,2021-07-21,FY2021-22,Uttarakhand,3,Engineering Goods,84-85,Micro,Union Bank of India,Packing Credit,1860656,6706722,54.3,South Africa,Medium,No,Yes,40,Medium,No
IES004350,2015-10-01,FY2015-16,West Bengal,2,Plastics & Rubber,39-40,Small,HDFC Bank,Export Factoring,838543,2368481,30.9,UAE,Low,No,Yes,33,Medium,No
IES004351,2015-09-01,FY2015-16,Madhya Pradesh,2,Handicrafts,97,Small,Union Bank of India,ECGC-backed Term Loan,1163785,3553293,5.4,USA,Low,No,No,30,Medium,No
IES004352,2019-03-19,FY2018-19,Andhra Pradesh,2,Leather & Footwear,41-64,Small,EXIM Bank of India,Post-Shipment Credit,2334368,3513631,9.9,China,Medium,No,Yes,23,Low,Yes
IES004353,2021-01-23,FY2020-21,Andhra Pradesh,2,Plastics & Rubber,39-40,Micro,HDFC Bank,ECGC-backed Term Loan,617085,1304979,49.7,Germany,Low,No,No,38,Medium,No
IES004354,2024-01-29,FY2023-24,Rajasthan,2,Engineering Goods,84-85,Small,Canara Bank,ECGC-backed Term Loan,4032525,17282672,53.8,Singapore,Low,No,No,25,Low,No
IES004355,2016-09-14,FY2016-17,Tamil Nadu,1,Handicrafts,97,Micro,HDFC Bank,Pre-Shipment Credit,226405,685855,13.8,USA,Low,Yes,Yes,60,High,No
IES004356,2018-07-21,FY2018-19,Telangana,2,Textiles & Apparel,50-63,Small,Canara Bank,Packing Credit,2205733,8643449,49.4,UAE,Low,No,Yes,33,Medium,No
IES004357,2021-04-11,FY2021-22,Gujarat,1,Leather & Footwear,41-64,Micro,ICICI Bank,Export Factoring,506274,1911701,9.9,Germany,Low,No,Yes,18,Low,Yes
IES004358,2018-02-06,FY2017-18,Uttarakhand,3,Handicrafts,97,Small,Bank of India,ECGC-backed Term Loan,730460,1183881,42.7,UAE,Low,Yes,No,75,High,No
IES004359,2020-10-29,FY2020-21,Telangana,2,Marine Products,03,Small,EXIM Bank of India,Export Bill Discounting,873949,3453306,50.8,Germany,Low,No,Yes,40,Medium,Yes
IES004360,2020-10-03,FY2020-21,Odisha,3,Handicrafts,97,Micro,HDFC Bank,ECGC-backed Term Loan,161938,387606,52.5,UK,Low,No,No,45,Medium,No
IES004361,2021-07-09,FY2021-22,Maharashtra,1,Chemicals & Pharma,28-30,Micro,ICICI Bank,ECGC-backed Term Loan,2455632,7171092,46.5,Nigeria,High,No,No,55,Medium,No
IES004362,2018-09-30,FY2018-19,Chhattisgarh,3,Handicrafts,97,Small,ICICI Bank,Export Factoring,472863,1744420,15.5,Egypt,High,No,Yes,55,Medium,No
IES004363,2021-02-01,FY2020-21,Punjab,2,Gems & Jewellery,71,Small,Canara Bank,Packing Credit,4323491,12972393,26.1,Singapore,Low,No,No,15,Low,No
IES004364,2022-08-15,FY2022-23,Karnataka,1,Agriculture & Food Products,01-24,Micro,HDFC Bank,ECGC-backed Term Loan,603885,1217132,22.9,UK,Low,No,No,35,Medium,No
IES004365,2016-04-06,FY2016-17,Jharkhand,3,Textiles & Apparel,50-63,Small,EXIM Bank of India,ECGC-backed Term Loan,1542451,3179254,29.5,Others,Medium,No,No,33,Medium,No
IES004366,2016-01-02,FY2015-16,Uttar Pradesh,2,Plastics & Rubber,39-40,Small,EXIM Bank of India,Pre-Shipment Credit,1227118,4778144,33.4,Nigeria,High,No,Yes,58,Medium,Yes
IES004367,2015-09-11,FY2015-16,Uttar Pradesh,2,Textiles & Apparel,50-63,Medium,Indian Bank,Export Factoring,4369152,15589223,38.4,USA,Low,No,Yes,38,Medium,Yes
IES004368,2022-08-12,FY2022-23,Gujarat,1,Plastics & Rubber,39-40,Small,Union Bank of India,Packing Credit,2150224,6124649,39.5,USA,Low,No,Yes,33,Medium,Yes
IES004369,2021-10-10,FY2021-22,Gujarat,1,Plastics & Rubber,39-40,Small,Punjab National Bank,Packing Credit,1061502,4038056,5.6,Sri Lanka,Medium,No,Yes,23,Low,Yes
IES004370,2019-11-14,FY2019-20,Karnataka,1,Electronic Components,85-90,Medium,Union Bank of India,Post-Shipment Credit,16554188,35620303,8.3,Germany,Low,No,Yes,10,Low,No
IES004371,2018-03-21,FY2017-18,Karnataka,1,Chemicals & Pharma,28-30,Micro,Axis Bank,Pre-Shipment Credit,2444123,9632064,5.2,Singapore,Low,No,Yes,10,Low,Yes
IES004372,2019-01-07,FY2018-19,Odisha,3,Marine Products,03,Micro,EXIM Bank of India,Pre-Shipment Credit,565762,1699378,40.2,UAE,Low,No,Yes,45,Medium,No
IES004373,2015-09-11,FY2015-16,Odisha,3,Engineering Goods,84-85,Micro,Canara Bank,Packing Credit,2437790,4271813,14.1,UAE,Low,No,Yes,10,Low,No
IES004374,2021-06-23,FY2021-22,Punjab,2,Gems & Jewellery,71,Small,Axis Bank,Packing Credit,4196939,12286079,37.7,UK,Low,No,No,25,Low,No
IES004375,2021-10-11,FY2021-22,Maharashtra,1,Handicrafts,97,Micro,EXIM Bank of India,Export Factoring,183812,388457,16.9,Nigeria,High,No,Yes,60,High,No
IES004376,2019-12-05,FY2019-20,Bihar,3,Leather & Footwear,41-64,Small,EXIM Bank of India,Post-Shipment Credit,1169140,2548329,24.8,UK,Low,No,Yes,23,Low,Yes
IES004377,2023-11-17,FY2023-24,Madhya Pradesh,2,Handicrafts,97,Micro,Indian Bank,ECGC-backed Term Loan,201694,772068,41.0,Nigeria,High,No,No,70,High,No
IES004378,2020-11-18,FY2020-21,Maharashtra,1,Textiles & Apparel,50-63,Micro,Axis Bank,Export Factoring,1317414,2476185,7.4,Sri Lanka,Medium,No,Yes,28,Low,No
IES004379,2021-05-04,FY2021-22,Jharkhand,3,Leather & Footwear,41-64,Micro,EXIM Bank of India,Post-Shipment Credit,824388,3677356,49.3,Vietnam,Low,No,Yes,38,Medium,Yes
IES004380,2019-07-31,FY2019-20,Karnataka,1,Chemicals & Pharma,28-30,Micro,Union Bank of India,Export Factoring,3657840,9995155,23.6,USA,Low,No,Yes,20,Low,Yes
IES004381,2017-02-12,FY2016-17,Maharashtra,1,Handicrafts,97,Micro,ICICI Bank,Packing Credit,176623,338100,11.6,Nigeria,High,No,Yes,50,Medium,No
IES004382,2023-07-23,FY2023-24,Maharashtra,1,Chemicals & Pharma,28-30,Small,State Bank of India,ECGC-backed Term Loan,3503883,6455358,17.0,Vietnam,Low,No,No,15,Low,No
IES004383,2021-01-27,FY2020-21,Maharashtra,1,Gems & Jewellery,71,Micro,Bank of Baroda,Packing Credit,2596872,6797054,27.9,UK,Low,No,No,20,Low,No
IES004384,2020-08-24,FY2020-21,Maharashtra,1,Electronic Components,85-90,Micro,Union Bank of India,Export Bill Discounting,1947915,4818627,14.1,USA,Low,No,Yes,10,Low,Yes
IES004385,2022-05-23,FY2022-23,Assam,3,Leather & Footwear,41-64,Small,Union Bank of India,Pre-Shipment Credit,1188634,2447397,23.2,China,Medium,No,Yes,33,Medium,Yes
IES004386,2018-10-08,FY2018-19,Haryana,2,Leather & Footwear,41-64,Medium,EXIM Bank of India,Export Factoring,2044508,3858577,27.8,Egypt,High,No,Yes,43,Medium,No
IES004387,2023-04-11,FY2023-24,Rajasthan,2,Chemicals & Pharma,28-30,Micro,Bank of India,ECGC-backed Term Loan,1534206,2735394,26.4,Singapore,Low,No,No,20,Low,No
IES004388,2015-12-25,FY2015-16,Uttar Pradesh,2,Marine Products,03,Small,EXIM Bank of India,ECGC-backed Term Loan,474391,2110932,21.4,Nigeria,High,No,No,55,Medium,No
IES004389,2023-06-14,FY2023-24,Telangana,2,Marine Products,03,Micro,HDFC Bank,Packing Credit,607781,1049597,28.1,Others,Medium,No,Yes,45,Medium,Yes
IES004390,2019-01-23,FY2018-19,Punjab,2,Handicrafts,97,Micro,SIDBI,Packing Credit,298243,1332480,43.5,Brazil,Medium,No,Yes,55,Medium,No
IES004391,2022-12-14,FY2022-23,Madhya Pradesh,2,Agriculture & Food Products,01-24,Small,State Bank of India,ECGC-backed Term Loan,1110469,4199245,31.2,Others,Medium,No,No,50,Medium,No
IES004392,2021-03-05,FY2020-21,Maharashtra,1,Chemicals & Pharma,28-30,Medium,Canara Bank,Export Factoring,7256230,31003788,46.3,China,Medium,No,Yes,40,Medium,No
IES004393,2016-03-17,FY2015-16,Maharashtra,1,Marine Products,03,Small,Bank of India,Post-Shipment Credit,880901,2126265,6.8,China,Medium,No,Yes,30,Medium,Yes
IES004394,2022-12-21,FY2022-23,Gujarat,1,Gems & Jewellery,71,Small,State Bank of India,Export Bill Discounting,9665141,41627427,34.3,UK,Low,No,No,25,Low,No
IES004395,2020-11-04,FY2020-21,Uttar Pradesh,2,Textiles & Apparel,50-63,Small,EXIM Bank of India,Post-Shipment Credit,1007838,4019831,46.8,Germany,Low,No,Yes,33,Medium,No
IES004396,2022-06-24,FY2022-23,Tamil Nadu,1,Agriculture & Food Products,01-24,Small,Bank of India,Export Factoring,827919,3264918,37.3,Bangladesh,Medium,No,Yes,50,Medium,Yes
IES004397,2015-12-16,FY2015-16,West Bengal,2,Gems & Jewellery,71,Micro,EXIM Bank of India,ECGC-backed Term Loan,1973710,3011218,46.7,USA,Low,No,No,30,Medium,No
IES004398,2023-04-02,FY2023-24,Tamil Nadu,1,Plastics & Rubber,39-40,Micro,Indian Bank,Packing Credit,629250,1108926,36.5,UK,Low,No,Yes,38,Medium,No
IES004399,2020-04-18,FY2020-21,Telangana,2,Engineering Goods,84-85,Micro,Union Bank of India,Pre-Shipment Credit,5068531,21694014,6.6,UK,Low,No,Yes,10,Low,Yes
IES004400,2017-12-30,FY2017-18,Maharashtra,1,Plastics & Rubber,39-40,Small,ICICI Bank,Packing Credit,1958433,7481560,7.6,Bangladesh,Medium,No,Yes,23,Low,Yes
IES004401,2023-09-18,FY2023-24,Gujarat,1,Electronic Components,85-90,Micro,ICICI Bank,Post-Shipment Credit,2985030,5042388,44.5,Egypt,High,No,Yes,55,Medium,No
